cpu_usage_percentage,memory_usage,network_received_throughput
93.23333333333332,6129274.4,0.0
93.05,6755624.0,0.0
89.15,8947846.4,535.6666666666666
90.05,18790479.466666665,349.6666666666667
93.56666666666666,9305760.533333331,0.0
93.25,6352970.4,0.0
92.75,6129274.4,0.0
86.78333333333335,9753152.266666668,502.6666666666667
89.51666666666667,20937962.933333334,235.53333333333333
95.08333333333334,10111066.933333334,0.0
94.25,6308231.733333333,0.0
55.41666666666667,11050592.533333331,719.9333333333333
0.7333333333333333,10334763.2,0.0
0.6,1476393.6,0.0
0.65,0.0,0.0
0.5833333333333334,0.0,0.0
0.5333333333333333,0.0,0.0
0.6166666666666667,0.0,0.0
0.6666666666666667,0.0,0.0
0.5833333333333334,0.0,0.0
0.5833333333333334,0.0,0.0
0.5833333333333334,0.0,0.0
0.65,0.0,0.0
0.5833333333333334,0.0,0.0
0.55,0.0,0.0
0.55,0.0,0.0
0.5,0.0,0.0
0.5666666666666667,0.0,0.0
0.55,0.0,0.0
0.5,0.0,0.0
0.5333333333333333,0.0,0.0
0.5666666666666667,0.0,0.0
0.5,0.0,0.0
0.55,0.0,0.0
0.55,0.0,0.0
0.55,0.0,0.0666666666666666
0.6166666666666667,0.0,0.0
0.6,0.0,0.0
0.5,0.0,0.0
0.55,0.0,0.0
0.5666666666666667,0.0,0.0
0.5166666666666666,0.0,0.0
0.5666666666666667,0.0,0.0
0.6333333333333333,0.0,0.0
0.5,0.0,0.0
0.6166666666666667,0.0,0.0
0.5833333333333334,0.0,0.0
0.5333333333333333,0.0,0.0
0.6,0.0,0.0
0.6333333333333333,0.0,0.0
0.6,0.0,0.0
0.6333333333333333,0.0,0.0
0.7166666666666667,178956.8,0.0
0.5166666666666666,134217.6,0.0
0.55,0.0,0.0
0.6,0.0,0.0
0.6,0.0,0.0
0.5333333333333333,0.0,0.0
0.5666666666666667,0.0,0.0
0.6,0.0,0.0
0.5833333333333334,0.0,0.0
0.65,0.0,0.0666666666666666
0.5666666666666667,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.55,0.0,0.0
0.55,0.0,0.0
0.6166666666666667,0.0,0.0
1.0166666666666666,0.0,0.0
0.6,0.0,0.0
0.6166666666666667,0.0,0.0
0.65,0.0,0.0
0.5166666666666666,0.0,0.0
0.6333333333333333,0.0,0.0
0.6,0.0,0.0
0.5333333333333333,0.0,0.0
0.5666666666666667,0.0,0.0
0.5666666666666667,268435.2,0.0
0.5833333333333334,89478.4,0.0
0.6,0.0,0.0
0.5833333333333334,0.0,0.0
0.6,0.0,0.0
0.5833333333333334,0.0,0.0
0.7,0.0,0.0
0.55,0.0,0.0666666666666666
0.6833333333333332,0.0,0.0
0.6833333333333332,0.0,0.0
0.5333333333333333,0.0,0.0
0.5666666666666667,0.0,0.0
0.6666666666666667,0.0,0.0
0.6,0.0,0.0
0.55,0.0,0.0
0.6333333333333333,0.0,0.0
0.5166666666666666,0.0,0.0
0.5166666666666666,0.0,0.0
0.55,0.0,0.0
0.55,0.0,0.0
0.6166666666666667,0.0,0.0
0.5333333333333333,0.0,0.0
0.5333333333333333,0.0,0.0
0.6166666666666667,0.0,0.0
0.65,0.0,0.0
0.5833333333333334,0.0,0.0
0.5166666666666666,0.0,0.0666666666666666
0.6666666666666667,0.0,0.0
0.55,0.0,0.0
0.5166666666666666,0.0,0.0
0.6,0.0,0.0
0.5833333333333334,0.0,0.0
0.5666666666666667,0.0,0.0
0.5666666666666667,0.0,0.0
0.5666666666666667,0.0,0.0
0.5333333333333333,0.0,0.0
0.6166666666666667,0.0,0.0
0.6,0.0,0.0
0.5333333333333333,0.0,0.0
0.5833333333333334,0.0,0.0
0.5666666666666667,0.0,0.0
0.5333333333333333,0.0,0.0
0.6,0.0,0.0
0.6833333333333332,0.0,0.0
0.5833333333333334,0.0,0.0
0.55,0.0,0.0
0.6,0.0,0.0
0.5166666666666666,134217.6,0.0
